# test name,category,real vulnerability,CWE
# Vulnerable Apps Benchmark v0.1.0 (bash)
backup_file_path_traversal,pathtraver,true,22
backup_weak_md5_checksum,weakcrypto,true,327
chmod666_world_readable,insecure_perms,true,732
chmod755_deploy_dir,insecure_perms,false,732
chmod777_deploy_dir,insecure_perms,true,732
ci_curl_injection,ssrf,true,918
curl_insecure_k,ssl_bypass,true,295
curl_pipe_bash,rce,true,94
custom_hook_execution,cmdi,true,78
db_query_escaped,sqli,false,89
debug_mode_filtered,infodisclosure,false,200
deploy_from_webhook_payload,cmdi,true,78
dfg_backup_json_injection,codeinj,true,94
dfg_backup_unquoted_mysqldump,cmdi,true,78
dfg_deploy_eval_extra_args,cmdi,true,78
dfg_deploy_url_injection,codeinj,true,94
dfg_healthcheck_database,sqli,false,89
dfg_healthcheck_disk,infodisclosure,false,200
dfg_healthcheck_file,pathtraver,false,22
dfg_healthcheck_http,infodisclosure,false,200
dfg_healthcheck_process,cmdi,false,78
dfg_infra_incomplete_redaction,infodisclosure,true,532
dfo_backup_compression_cmd,cmdi,true,78
dfo_backup_curl_ssrf,ssrf,true,918
dfo_backup_eval_hook,cmdi,true,78
dfo_backup_unquoted_tar,pathtraver,true,22
dfo_backup_validated,pathtraver,false,22
dfo_cleanup_eval_log,cmdi,true,78
dfo_cleanup_find_pattern,cmdi,true,78
dfo_cleanup_unquoted_rm,cmdi,true,78
dfo_cleanup_validated,pathtraver,false,22
dfo_deploy_bash_c_hook,cmdi,true,78
dfo_deploy_git_branch_unquoted,cmdi,true,78
dfo_deploy_validated,cmdi,false,78
dfo_notify_encoded,cmdi,false,78
dfo_notify_eval_callback,cmdi,true,78
dfo_notify_json_injection,codeinj,true,94
dfo_notify_mail_unquoted,cmdi,true,78
dfo_wh_cross_service_callback,ssrf,true,918
dfo_wh_eval_post_body,cmdi,true,78
dfo_wh_mysql_stdin,sqli,true,89
dfo_wh_parse_qs_declare,cmdi,false,78
dfw_curl_ssrf_deploy,ssrf,true,918
dfw_custom_eval_callback,cmdi,true,78
dfw_deploy_bash_c,cmdi,true,78
dfw_deploy_path_traversal,pathtraver,true,22
dfw_deploy_validated,pathtraver,false,22
dfw_email_header_injection,cmdi,true,93
dfw_email_validated,cmdi,false,93
dfw_eval_deployment_task,codeinj,true,94
dfw_eval_query_string,cmdi,true,78
dfw_exec_endpoint,cmdi,true,78
dfw_git_clone_ssrf,ssrf,true,918
dfw_health_check,infodisclosure,false,200
dfw_json_build_escaped,infodisclosure,false,200
dfw_json_exec_command,cmdi,true,78
dfw_json_get_eval,cmdi,true,78
dfw_json_get_jq,cmdi,false,78
dfw_notify_sanitized,cmdi,false,78
dfw_notify_script_path,cmdi,true,78
dfw_parse_qs_declare,cmdi,false,78
dfw_parse_qs_eval,cmdi,true,78
dfw_post_deploy_eval,cmdi,true,78
dfw_push_branch_validated,cmdi,false,78
dfw_rollback_path_traversal,pathtraver,true,22
dfw_send_error_json_inject,infodisclosure,true,200
dfw_send_response,infodisclosure,false,200
dfw_slack_ssrf,ssrf,true,918
dfw_sql_query_endpoint,sqli,true,89
dfw_template_double_eval,codeinj,true,94
docker_unquoted_vars,unquoted,true,78
download_file_verified,ssl_bypass,false,295
eval_restore_generic,cmdi,true,78
eval_set_config_value,cmdi,true,78
eval_slack_exec,cmdi,true,78
execute_custom_sql_from_stdin,sqli,true,89
find_exec_cleanup,cmdi,true,78
get_all_deployment_status_no_input,sqli,false,89
hardcoded_admin_token,hardcoded_creds,true,798
hardcoded_api_secret,hardcoded_creds,true,798
hardcoded_db_password,hardcoded_creds,true,798
ifs_modification_lost,cmdi,true,78
ifs_modification_restored,cmdi,false,78
install_from_remote_verified,rce,false,94
kubectl_namespace_injection,cmdi,true,78
ld_preload_injection,cmdi,true,78
mktemp_temp_file,insecure_temp,false,377
path_injection_setup_path,cmdi,true,78
predictable_temp_file,insecure_temp,true,377
printf_format_injection,cmdi,true,78
printf_literal_format,cmdi,false,78
read_with_r,cmdi,false,78
read_without_r,cmdi,true,78
read_without_r_migration,cmdi,true,78
read_without_r_url_encode,cmdi,true,78
restore_db_unquoted_cp,unquoted,true,78
restore_full_mkdir_unquoted,unquoted,true,78
rm_unquoted_md5,unquoted,true,78
run_seed_script,cmdi,true,78
secure_file_perms,insecure_perms,false,732
sed_config_injection,cmdi,true,78
set_x_debug_leak,infodisclosure,true,200
slack_deploy_command,cmdi,true,78
source_custom_webhook_handler,codeinj,true,94
source_environment_config,codeinj,true,94
source_migration_file,codeinj,true,94
source_plugin_unquoted,codeinj,true,94
source_pre_migration_hook,codeinj,true,94
source_variable_path,codeinj,true,94
sp_backup_cleanup_find_hardcoded,cmdi,false,78
sp_backup_realpath_validated,pathtraver,false,22
sp_backup_restore_quoted,unquoted,false,78
sp_backup_sha256_integrity,weakcrypto,false,327
sp_backup_tar_quoted,unquoted,false,78
sp_backup_upload_allowlisted,ssrf,false,918
sp_config_absolute_path,cmdi,false,78
sp_config_env_validated,codeinj,false,94
sp_config_ifs_restored,cmdi,false,78
sp_config_load_constant,codeinj,false,94
sp_config_no_ld_preload,cmdi,false,78
sp_config_plugin_validated,codeinj,false,94
sp_config_read_r_flag,cmdi,false,78
sp_config_set_validated,cmdi,false,78
sp_db_column_whitelist,sqli,false,89
sp_db_days_integer,sqli,false,89
sp_db_identifier_whitelist,sqli,false,89
sp_db_integer_validated,sqli,false,89
sp_db_maintenance_constant,sqli,false,89
sp_db_no_user_input_1,sqli,false,89
sp_db_no_user_input_2,sqli,false,89
sp_db_no_user_input_3,sqli,false,89
sp_db_no_user_input_4,sqli,false,89
sp_db_printf_q_escape,sqli,false,89
sp_deploy_chmod_755,insecure_perms,false,732
sp_deploy_docker_quoted,unquoted,false,78
sp_deploy_hook_allowlist,cmdi,false,78
sp_deploy_kubectl_identifier,cmdi,false,78
sp_deploy_quoted_cp,unquoted,false,78
sp_deploy_ssh_quoted_args,cmdi,false,78
sp_deploy_ssh_strict,ssl_bypass,false,295
sp_deploy_version_integer,cmdi,false,78
sp_net_curl_ssl_verified,ssl_bypass,false,295
sp_net_dns_validated,cmdi,false,78
