# function,file,start_line,end_line,category,vulnerable,CWE
GetUser,controllers/user_controller.go,46,64,sqli,TRUE,89
GetUserByUsername,controllers/user_controller.go,69,83,sqli,TRUE,89
SearchUsers,controllers/user_controller.go,88,112,sqli,TRUE,89
CreateUser,controllers/user_controller.go,117,149,sqli,TRUE,89
UpdateUser,controllers/user_controller.go,154,178,sqli,TRUE,89
DeleteUser,controllers/user_controller.go,182,197,sqli,TRUE,89
CreateUserViaService,controllers/user_controller.go,207,232,sqli,TRUE,89
SearchViaService,controllers/user_controller.go,236,251,sqli,TRUE,89
RunReportViaService,controllers/user_controller.go,256,277,sqli,TRUE,89
RunReportViaService,controllers/user_controller.go,256,277,pathtraver,TRUE,22
AuthByHeader,controllers/user_controller.go,286,305,sqli,TRUE,89
AuthByCookie,controllers/user_controller.go,310,332,sqli,TRUE,89
RunSystemCommand,controllers/user_controller.go,341,357,cmdi,TRUE,78
RunShellCommand,controllers/user_controller.go,361,375,cmdi,TRUE,78
DownloadFile,controllers/user_controller.go,384,400,pathtraver,TRUE,22
UploadFile,controllers/user_controller.go,404,425,pathtraver,TRUE,22
ReadConfig,controllers/user_controller.go,429,443,pathtraver,TRUE,22
GetUserAlt,controllers/user_controller.go,450,465,sqli,FALSE,89
CreateUser,services/user_service.go,32,52,sqli,TRUE,89
SearchUsers,services/user_service.go,56,80,sqli,TRUE,89
FindByID,services/user_service.go,84,96,sqli,TRUE,89
UpdateUser,services/user_service.go,100,108,sqli,TRUE,89
DeleteUser,services/user_service.go,112,116,sqli,TRUE,89
GenerateReport,services/user_service.go,125,177,sqli,TRUE,89
GenerateReport,services/user_service.go,125,177,pathtraver,TRUE,22
ProcessBatchJob,services/user_service.go,182,201,sqli,TRUE,89
ProcessBatchJob,services/user_service.go,182,201,cmdi,TRUE,78
ProcessUserData,services/user_service.go,209,217,sqli,TRUE,89
ValidateAndStore,services/user_service.go,229,237,sqli,TRUE,89
storeUserInput,services/user_service.go,241,245,sqli,TRUE,89
CreateUserAlt,services/user_service.go,252,267,sqli,FALSE,89
SearchUsersAlt,services/user_service.go,270,289,sqli,FALSE,89
