# test name,category,real vulnerability,CWE
# Vulnerable Apps Benchmark v0.1.0 (php)
la_csrf_middleware,csrf,false,352
la_csrf_no_middleware,csrf,true,352
la_hardcoded_env,hardcodedcreds,false,798
la_hardcoded_jwt,hardcodedcreds,true,798
la_massassign_create,massassign,true,915
la_massassign_explicit,massassign,false,915
la_massassign_fillable,massassign,false,915
la_massassign_update,massassign,true,915
la_pt_download,pathtraver,true,22
la_pt_download_safe,pathtraver,false,22
la_redirect_open,redirect,true,601
la_redirect_route,redirect,false,601
la_sqli_binding,sqli,false,89
la_sqli_raw_query,sqli,true,89
la_sqli_search_bound,sqli,false,89
la_sqli_search_raw,sqli,true,89
la_sqli_where,sqli,false,89
la_sqli_whereraw,sqli,true,89
la_ssrf_allowlist,ssrf,false,918
la_ssrf_webhook,ssrf,true,918
la_ssti_dynamic,ssti,true,1336
la_ssti_file,ssti,false,1336
la_tj_api_key_loose,typejuggling,true,697
la_tj_api_key_strict,typejuggling,false,697
la_upload_no_validate,fileupload,true,434
la_upload_validated,fileupload,false,434
la_weakrand_secure,weakrand,false,330
la_weakrand_token,weakrand,true,330
la_xss_blade_escaped,xss,false,79
la_xss_blade_raw,xss,true,79
sy_ldapi_escaped,ldapi,false,90
sy_ldapi_search,ldapi,true,90
sy_pt_asset,pathtraver,true,22
sy_pt_safe,pathtraver,false,22
sy_redirect_open,redirect,true,601
sy_redirect_route,redirect,false,601
sy_reflect_controller,unsafereflect,true,470
sy_reflect_service,unsafereflect,false,470
sy_sqli_dql_concat,sqli,true,89
sy_sqli_dql_param,sqli,false,89
sy_sqli_native,sqli,true,89
sy_sqli_native_safe,sqli,false,89
sy_sqli_qb_param,sqli,false,89
sy_sqli_qb_raw,sqli,true,89
sy_ssrf_base_uri,ssrf,false,918
sy_ssrf_http_client,ssrf,true,918
sy_ssti_file,ssti,false,1336
sy_ssti_from_string,ssti,true,1336
sy_vv_array,variablevars,false,627
sy_vv_dynamic,variablevars,true,627
sy_xss_twig_escaped,xss,false,79
sy_xss_twig_raw,xss,true,79
sy_xxe_form,xxe,true,611
sy_xxe_safe,xxe,false,611
vb_cmdi_image_resize,cmdi,true,78
vb_cmdi_image_safe,cmdi,false,78
vb_codeinj_eval_config,codeinj,true,94
vb_codeinj_safe,codeinj,false,94
vb_cookie_insecure,securecookie,true,614
vb_cookie_secure,securecookie,false,614
vb_csrf_no_token,csrf,true,352
vb_csrf_verified,csrf,false,352
vb_deser_json,deserial,false,502
vb_deser_session,deserial,true,502
vb_fi_template,fileinclusion,true,98
vb_fi_template_safe,fileinclusion,false,98
vb_hardcoded_db_pass,hardcodedcreds,true,798
vb_hardcoded_env,hardcodedcreds,false,798
vb_headerinj_redirect,headerinj,true,113
vb_headerinj_safe,headerinj,false,113
vb_pt_download,pathtraver,true,22
vb_pt_download_safe,pathtraver,false,22
vb_sqli_delete,sqli,true,89
vb_sqli_delete_safe,sqli,false,89
vb_sqli_insert_comment,sqli,true,89
vb_sqli_insert_safe,sqli,false,89
vb_sqli_login,sqli,true,89
vb_sqli_login_safe,sqli,false,89
vb_sqli_search,sqli,true,89
vb_sqli_search_safe,sqli,false,89
vb_tj_auth_bypass,typejuggling,true,697
vb_tj_strict_auth,typejuggling,false,697
vb_upload_no_validate,fileupload,true,434
vb_upload_safe,fileupload,false,434
vb_weakhash_bcrypt,weakhash,false,328
vb_weakhash_md5,weakhash,true,328
vb_weakrand_safe,weakrand,false,330
vb_weakrand_session,weakrand,true,330
vb_xss_comment,xss,true,79
vb_xss_comment_safe,xss,false,79
vb_xss_post_escaped,xss,false,79
vb_xss_post_title,xss,true,79
vb_xss_search_escaped,xss,false,79
vb_xss_search_reflect,xss,true,79
wp_cmdi_export,cmdi,true,78
wp_cmdi_safe,cmdi,false,78
wp_csrf_no_nonce,csrf,true,352
wp_csrf_nonce,csrf,false,352
wp_extract_atts,extract,true,621
wp_extract_safe,extract,false,621
wp_fi_safe,fileinclusion,false,98
wp_fi_template,fileinclusion,true,98
wp_hardcoded_key,hardcodedcreds,true,798
wp_hardcoded_option,hardcodedcreds,false,798
wp_pt_download,pathtraver,true,22
wp_pt_safe,pathtraver,false,22
wp_sqli_ajax_safe,sqli,false,89
wp_sqli_ajax_search,sqli,true,89
wp_sqli_get_events,sqli,true,89
wp_sqli_prepared,sqli,false,89
wp_sqli_update,sqli,true,89
wp_sqli_update_safe,sqli,false,89
wp_xss_escaped,xss,false,79
wp_xss_event_escaped,xss,false,79
wp_xss_event_list,xss,true,79
wp_xss_shortcode,xss,true,79
wp_xxe_import,xxe,true,611
wp_xxe_safe,xxe,false,611
