# test name,category,real vulnerability,CWE
# Vulnerable Apps Benchmark v0.1.0 (ruby)
ra_cmdi_backtick,cmdi,true,78
ra_cmdi_system_array,cmdi,false,78
ra_csrf_protect_exception,csrf,false,352
ra_csrf_skip_action,csrf,true,352
ra_deser_yaml_load,deserial,true,502
ra_deser_yaml_safe,deserial,false,502
ra_fileupload_no_validate,fileupload,true,434
ra_fileupload_validated,fileupload,false,434
ra_hardcoded_env_jwt,hardcodedcreds,false,798
ra_hardcoded_jwt,hardcodedcreds,true,798
ra_massassign_permit,massassign,false,915
ra_massassign_permit_bang,massassign,true,915
ra_pt_basename,pathtraver,false,22
ra_pt_send_file,pathtraver,true,22
ra_redirect_internal,redirect,false,601
ra_redirect_open,redirect,true,601
ra_securecookie_flags,securecookie,false,614
ra_securecookie_no_flags,securecookie,true,614
ra_sqli_ar_param,sqli,false,89
ra_sqli_ar_string,sqli,true,89
ra_sqli_find_safe,sqli,false,89
ra_sqli_raw_execute,sqli,true,89
ra_ssti_erb_from_string,ssti,true,1336
ra_ssti_file_template,ssti,false,1336
ra_xss_html_safe,xss,true,79
ra_xss_sanitize,xss,false,79
rk_csrf_no_token,csrf,true,352
rk_csrf_verified,csrf,false,352
rk_deser_json,deserial,false,502
rk_deser_marshal,deserial,true,502
rk_fileupload_no_validate,fileupload,true,434
rk_fileupload_validated,fileupload,false,434
rk_hardcoded_db_pass,hardcodedcreds,true,798
rk_hardcoded_env,hardcodedcreds,false,798
rk_headerinj_redirect,headerinj,true,113
rk_headerinj_safe,headerinj,false,113
rk_pt_download,pathtraver,true,22
rk_pt_safe,pathtraver,false,22
rk_securecookie_insecure,securecookie,true,614
rk_securecookie_secure,securecookie,false,614
rk_sqli_concat,sqli,true,89
rk_sqli_prepared,sqli,false,89
rk_ssti_erb,ssti,true,1336
rk_ssti_file,ssti,false,1336
rk_weakhash_bcrypt,weakhash,false,328
rk_weakhash_md5,weakhash,true,328
rk_weakrand_secure,weakrand,false,330
rk_weakrand_session,weakrand,true,330
rk_xss_escaped,xss,false,79
rk_xss_unescaped,xss,true,79
si_cmdi_exec_array,cmdi,false,78
si_cmdi_system_concat,cmdi,true,78
si_massassign_hash_all,massassign,true,915
si_massassign_slice,massassign,false,915
si_redirect_open,redirect,true,601
si_redirect_path,redirect,false,601
si_sqli_concat,sqli,true,89
si_sqli_param,sqli,false,89
si_ssrf_allowlist,ssrf,false,918
si_ssrf_get,ssrf,true,918
si_xss_escape,xss,false,79
si_xss_reflect,xss,true,79
